# names: 7036 rows -- regenerate with `make baseline`
AC1	sharp
Margum	city in Upper Moesia, on the Margis
Maria1	female proper name
Maria2	town of the Parthians
Mariandyni	people of Bithynia
Marica	nymph in the territory of Minturnae
Maricas	title of a comedy of Eupolis, directed against Hyperbolus
Mariccus	Boian
Marium	ancient town of Cyprus
Marius	Roman family name
Marmaricus	of or belonging to Marmarica
Marmarides	man from Marmarica
Marmessus	town in Troas, on Mount Ida
Marnas	deity worshipped at Gaza, in Palestine
Maro1	family name of the poet P. Vergilius
Maro2	mountain in Sicily, near the river Himera
Maro3	companion and instructor of the youthful Bacchus
Maroboduus	Marbod, king of the Suevi
Maronea	town of Thrace, on the Schoeneus
Maroneus	Of or belonging to Virgil
Marpessus1	town in the Troas, on Mount Ida
Marpessus2	mountain in the island of Paros
Marrubium2	city in Latium, the capital of the Marsians
Marrucini	people of Italy, on the Adriatic coast
Mars	who, as father of Romulus
Marsaci	people of Gallia Belgica.—Marsacii, Plin 4, 15, 29, §
Marsi	people in Latium, on the Lacus Fucinus
Marsigni	people of Germany, a part of the Suevi
Marsus2	epigrammatic poet in the time of Augustus
Marsyas1	satyr who challenged Apollo to a trial of skill
Marsyas2	river in Greater Phrygia
Martialis2	native of Bilbilis, in Spain
Martianus	Roman jurist, a pupil of Papinian under Alexander Severus
Martiaticus	martial, military
Marticola	worshipper of Mars
Marticultor	worshipper of Mars
Martigena	Mars-born, begotten by Mars
Marucca	town in Batica
Marullus	Roman surname
Marus	river in Dacia, now the March or Morana
Masada	fortress in Judaea, now Sebbeh
Masati	people of Mauritania
Masei	people of Arabia
Masgaba	son of King Masinissa
Masicitus	mountain in Lycia
Masinissa	king of Numidia, grandfather of Jugurtha
Maso	surname in the gens Papiria
Massa2	Roman surname
Massaesyli	people in Africa
Massagetae	Scythian people, to the east of the Caspian Sea
Massala	town of Arabia Felix
Massicus	mountain in Campania, celebrated for its excellent wine
Massilia	celebrated seaport town in Gallia Narbonensis
Massurius	celebrated jurist in the time of the emperor Tiberius
Massyli	people in Africa, to the east of the Massaesyli
Mastarna	ancient
Mastaurenses	inhabitants of the city of Mastaura in Lydia
Maternus2	Roman surname
Matho	rich speculator, afterwards a bankrupt
Matilica	city in Umbria, the modern Matelica
Matinus	mountain or promontory in Apulia
Matisco	city of the Aeduans, in Gallia Lugdunensis
Matius	Roman family name
Matrae	protecting goddesses of a country, city
Matrona2	river in Gaul, now the Marne
Mattarius	one who sleeps on a mat
Matthaeus	St. Matthew the evangelist
Mattiacus	of or belonging to Mattiacum
Mattium	city of Germany, the capital of the Chatti
Matura	goddess that presides over the ripening of fruits
Matuta	goddess of the morning or dawn, identical with Aurora
Mauri	Moors, Mauritanians, the inhabitants of Mauritania
Mausolus	king of Caria, husband of Artemisia
Maxentius	Roman emperor
Mazaca	chief city of Cappadocia, now Kaisariyeh, Auct
Mazaces	people of Numidia, afterwards called Mazacenses
Mazagae	city in India
Mazices	people of Numidia, the same with Mazaces
Mechir	name of an Egyptian month
Medea	celebrated sorceress, daughter of Aeetes, king of Colchis
Medeon	city in Dalmatia
Medi	Medes
Mediamna	Mesopotamia
Medica1	excellent kind of clover introduced from Media
Mediolanum	city in Gallia Cisalpina, the capital of the Insubres
Mediomatrici	people of Gaul, on the Moselle
Medion2	city of Acarnania
Meditrina	goddess of Healing
Meditrinalia	festival celebrated on the 11th of October in honor
Medobrega	city in Lusitania, now Portalegre, Auct
Medon	Centaur
Meduli	people in Aquitanian Gaul
Medulli	Alpine people in Sabaudia, Inscr. ap
Medullia	little town in Latium, near the modern Monte Verde
Medullus	mountain in Hispania Tarraconensis
Medus2	son of Aegeus and Medea
Medus3	small river of Persia, a tributary of the Araxes
Medusa	daughter of Phorcus
Megabocchus	praetor in Sardinia
Megabyzus	priest of Diana at Ephesus
Megaera	One of the Furies
Megale	surname of the Magna Mater, Calend
Megalia	small island of Campania, the modern Castel dell' Ovo
Megalobusus	father of Theotimus
Megalopolis	city of Arcadia, the birthplace of Polybius.—Form Megalopolis
Megapenthes	son of Proetus
Megara1	Numantine
Megara3	wife of Hercules
Megarea	Megara
Megareius1	of or belonging to the city of Megara, Megareian
Megarensis	of or belonging to the city of Megara
Megareus1	of or belonging to the city of Megara
Megareus2	son of Neptune
Megaricus	of or belonging to the city of Megara, Megaric
Megaris	country of Greece, between Attica and Phocis
Megarus	of or belonging to the city of Megara, Megarean
Megas	surname
Meges	son of Phyleus, one of Helen's suitors
Megiste	Roman name given to slaves
Megisto	daughter of Ceteus
Mela	Roman proper name
Melae	town in the Samnite country
Melambium	place in Thessaly, near Scotussa
Melampus	Son of Amythaon, a celebrated physician and soothsayer
Melanchaetes	black-hair, the name of a dog
Melaneus	Name of a Centaur
Melanippe	Daughter of Desmon or Aeolus
Melanius	Roman proper name, Inscr
Melanthius	goatherd of Ulysses
Melantho	seanymph, daughter of Neptune
Melanthus	river in Sarmatia
Melantias	town of Thrace
Melas1	name of several rivers
Meldi	people of Gallia Celtica, between the Seine and Marne
Meleager	son of the Calydonian king Oeneus and Althaea
Meles2	river in Ionia, near Smyrna
Meles3	village in the Samnite territory
Melessi	people in Hispania Baetica
Melete	One of the Muses
Meletides	foolish Athenian
Meliboea	maritime town of Thessaly
Meliboeus1	name of a shepherd
Melicerta	son of Ino and the Theban king Athamas
Melicus2	Median
Melie	sea-nymph
Melinus4	of or belonging to the island of Melos, Melian
Melissa	nymph who is said to have invented the art
Melissus	king of Crete, father of Melissa and Amalthea
Melita	isle of Malta
Melitaeus	of or belonging to the Dalmatian island Melita, Melitaean
Melitanus	of or belonging to Melita, Melitan
Melitensis	of or belonging to the isle of Malta, Melitan
Melitesius	Melitan, Maltese
Melitinus2	Roman proper name, Inscr
Melius2	of or belonging to the isle of Melos, Melian
Mella2	river in Upper Italy, near Brescia, now Mella
Mella3	Roman surname in the gens Annaea
Mellaria	city in Hispania Baetica
Melligerus	Roman surname, Inscr
Mellona	goddess of bees and honey
Melloproximus	one who comes next in rank to the Proximus
Melodunum	city of the Senones, the modern Melun
Melos2	island in the Aegean Sea, one of the Cyclades
Melotis	country of Thessaly
Melpomene	muse of tragic and lyric poetry
Memaceni	people of Asia, beyond the Caspian Sea
Memmius	Roman family name. mox Italus Mnestheus, genus
Memnon	son of Tithonus and Aurora
Memor2	Roman surname, lnscr
Memphis	city of Middle Egypt
Mena2	daughter of Jupiter
Mena3	Roman surname
Menaechmi	comedy of Plautus
Menaenius	of or from Menae
Menaeus1	of or belonging to the city of Menae
Menalcas	name of a shepherd
Menalippe	sister of Antiope queen of the Amazons
Menalippus	slayer of Tydeus
Menander	celebrated Greek comic poet
Menapii	people of Belgic Gaul
Menas	freedman of Sextus Pompeius
Mendes	of or belonging to the Egyptian maritime town Mendes
Menecles	Asiatic rhetorician from Alabanda
Menecrates	poet of Ephesus
Menedemus	Eretrian philosopher, a disciple of Plato
Menelaeus	of or belonging to Menelaus
Menelais	city in Epirus
Menelaites	Egyptian name
Menelaius	mountain in Laconia, on the Eurotas, near Sparta
Menelaus	Son of Atreus, brother of Agamemnon
Menenius	Roman family name
Menephron	name of an immoral person, Ov M. 7, 386
Menestheus	man's name
Meninx	island off the coast of Africa
Menippus	Cynic philosopher famous for his bitter sarcasms
Menius	son of Lycaon
Mennis	city of Assyria, in Adiabene
Menoeceus	son of the Theban king Creon
Menoetes	One of the companions of Aeneas
Menoetius	son of Actor and father of Patroclus
Menogenes	Roman sur name
Menon	name of one of Plato's dialogues
Menotyrannus	lord of the months
Mentesanus	Of or belonging to the city of Mentesa
Mento2	Roman proper name
Mentonomon	part of the shore of the German Ocean
Mentor	famous friend of Odysseus
Mercatilla	Roman proper name, Inscr
Mercedonius2	intercalary month of 22 or 23 days
Mercurialis	of or belonging to the god Mercury
Mercuriolus	little image of Mercury
Mercurius	Mercury, the son of Jupiter and Maia
Merenda2	Roman surname
Merinas	of or belonging to the city of Merinum
Meriones	charioteer of Idomeneus
Mermeros	one of the Centaurs present at the wedding of Pirithous
Mermessius	of or belonging to the city of Mermessus
Mero	wine-bibber
Meroe	large and celebrated island of the Nile, in Ethiopia
Merope	mythic name of several persons
Merops1	king of Ethiopia, husband of Clymene
Merula2	Roman surname
Merula3	river of Liguria, now Arosia
Merulinus	Roman surname, Inscr
Mesembria	city in Thrace, on the Black Sea, now Missiori
Mesene	midland, a name of the district of Babylonia
Mesogites	sort of wine from Mesogis
Mesopotamia	country of Asia, between the Euphrates and Tigris
Messalina	profligate wife of the emperor Claudius
Messalinus	Roman surname
Messalla	Roman surname in the gens Valeria
Messana	Sicilian city
Messapia	old name of a part of Lower Italy
Messapus	mythic prince in Messapia
Messeis	fountain in Thessaly
Messene	capital of Messenia, in the Peloponnesus
Messia1	goddess of reaping
Messia2	wooded hill on the right bank of the Tiber
Messias	Messiah, Christ
Mestria	Roman surname
Mestrianus	Roman surname, Inscr
Metabus	king of the Volsci, father of Camilla
Metagogeus	he who leads around
Metagon	name of a dog
Metalces	one of the fifty sons of Aegyptus
Metallinensis	of or belonging to the town of Metallinum
Metapinus	Metapinic
Metapontum	town of Lucania
Metaurensis	of or belonging to the river Metaurus, in Umbria
Metaurus	name of several rivers
Metellinus	of or belonging to a Metellus, Metelline
Metellus	name of a Roman family in the gens Caecilia
Meterea	people dwelling about the Danube and the Black Sea
Methion	father of Phorbas
Methymna	city in the island of Lesbos
Metilius	Roman family name
Metina	island near the coast of Gaul
Metiosedum	city in Gaul, now Meudon
Metiscus	charioteer of Turnus
Metius	Italian proper name
Meton	celebrated Athenian astronomer
Metrodorus	Epicurean
Metropolis2	proper name of several cities
Metropolitanus2	of or belonging to the city of Metropolis
Mettus	Sabine praenomen
Mevania	city in Umbria, now Bevagna
Mevia	woman fond of masculine sports
Mezentius	male proper name [of Oscan origin]
Mia	one of the Graces
Miccotrogus	fictitious name of a parasite, Smallbiter
Michael	archangel
Michaelium	church of St. Michael
Micio	name of a man
Micipsa	son of Masinissa
Micon	name of a shepherd
Midaium	city of Phrygia
Midamus	one of the fifty sons of Aegyptus
Midas	son of Gordius
Mide	city in Boeotia
Midea	city in Lycia
Midias	name of a Messenian
Midinus	of or belonging to Midas
Migdilybs	mixed Libyan
Milanion	husband of Atalanta
Miletis	daughter of Miletus, Byblis
Miletopolis	city in European Sarmatia, founded by the Milesians
Miletus1	father of Caunus and Byblis
Miletus2	city of Miletus, in Caria, the birthplace of Thales
Mileum	city in Numidia
Milichus	king in Spain
Milionia	city of Italy, in the country of the Marsians
Milo1	celebrated athlete of Crotona
Milo2	name assumed by T. Annius
Milonius	name of a parasite
Miltiades	celebrated general of the Athenians
Milyadum	district and city in Lycia
Mimallones	Bacchantes
Mimas	mountain range in Ionia, opposite the Isle of Chios
Mimnermia	surname of Venus
Mimnermus	Greek elegiac poet of Colophon
Minaei	people of Arabia, celebrated for their myrrh and frankincense
Minciades	Virgil, as born in Mantua, on the Mincius
Mincius	river in Cisalpine Gaul
Minerva	Roman goddess, identified with the Grecian Pallas Athene
Minerval	gift in return for instruction
Minervalicium	teacher's fee
Minervalis	of or belonging to Minerva
Minervinus	name of a Roman slave, Inscr
Minervius	of or belonging to Minerva, Minervian
Minio2	small river in Etruria, now Mignone
Minius2	river in Lusitania, now the Minho
Minois	female descendant of Minos
Minoius	of or belonging to Minos, Minoan
Minos	son of Zeus and Europa, brother of Rhadamanthus
Minotaurus	monster with the head of a bull and the body
Minous	of or belonging to Minos, Minoan
Minturnae	city of Latium, on the border of Campania
Minucius	Roman family name
Minyae	Minyans, Argonauts, the companions of Jason
Minyeias	daughter of Minyas
Minyeides	daughters of Minyas
Minyeius	of or belonging to Minyas
Minyeus	old name of the river Orchomenos, in Thessaly
Misagenes	son of Masinissa
Misargyrides	money-hater
Misenum	promontory, town
Missor2	Roman surname
Mistyllus	name of a cook
Misulani	people of Numidia
Mithras	sun-god of the Persians
Mithridates	Mithridates the Great, king of Pontus
Mitys	river of Macedonia
Mnaseas	author who wrote De Re Rustica
Mnemon	surname of king Artaxerxes
Mnemonides	Muses, daughters of Mnemosyne
Mnemosyne	mother of the Muses
Mnesarchus	father of Pythagoras
Mnester2	Roman surname
Mnestheus	Trojan
Mnevis	black ox consecrated to the sun-god at Heliopolis
Moab	mountainous region on the eastern coast of the Dead Sea
Mocilla	Roman surname
Modestinus	Roman surname, Inscr
Moenis	River Main, in Germany
Moera2	name of one of the Fates
Moeris1	king of Egypt in the fifteenth century A. C.
Moeris2	Lake Moeris, in Egypt, an artificial lake
Moeris3	name of a shepherd and sorcerer
Moesa	grandmother of Heliogabalus
Moesi	Moesians, a people in the modern Bulgaria and Servia
Mogontiacum	city of Germany, the mod
Molae	daughters of Mars, the protectresses of mills
Molliculus2	Roman surname
Molo2	surname of Apollonius of Rhodes, a Greek rhetorician
Molorchus	poor vine-dresser near Nemea
Molossi	Molossians, a people in the eastern part of Epirus
Molossia	country of the Molossi, in Epirus
Molossicus	Molossian
Molossis	country of the Molossi
Molossus1	of or belonging to the Molossi, Molossian
Molossus2	son of Pyrrhus, king of Epirus
Molus2	father of Meriones
Mona	name of two islands
Monaeses	king of the Parthians
Monodus	son of Prusias
Monoecus	surname of Hercules
Montanilla	Roman surname
Montaninus	Roman surname
Montanus2	Roman surname
Montinus	mountaingod, god of the Mountains
Monuste	one of the Danaides
Monychus	name of a Centaur
Mopsiani	adherents of Mopsus, in the city of Compsa
Mopsium	hill in Thessaly, between Tempe and Larissa
Mopsopius	of or belonging to Mopsopia
Mopsucrenae	city in Cappadocia, now Mezanluk Khan
Mopsuhestia	city in Cilicia, on the river Pyramus
Mopsus	soothsayer in Argos
Morbovia	land of disease, sickdom, vulg. in execrations
Morgetes	people who anciently dwelt in Lucania
Morimarusa	Cimbric appellation of the North Sea
Morini	people of Belgic Gaul, near the channel
Moritasgus	god of the Senones
Morpheus	son of Sleep and god of dreams
Morrenas	of or belonging to Morrena or Morena
Morta	one of the Fates, Liv
Morvinnicus	of or belonging to Morvinnus
Mosa	river in Belgic Gaul, now the Meuse or Maas
Moschi	people between the Black and the Caspian Seas, Mela
Moschis	female proper name, Afran. ap
Moschus	rhetorician of Pergamus, accused of poisoning
Mosella	river of Belgic Gaul, now the Moselle
Mostellaria	Ghost, the name of a comedy of Plautus
Mosteni	inhabitants of Mostena or Mostene, a city of Lydia
Moysiticus	of or belonging to Moses
Mucius	Roman family name
Mugillanus	Roman surname
Mugio2	Roman surname
Mugionia	gate of ancient Rome
Mulciber	surname of Vulcan
Mulio2	Roman surname
Multimammia	many-breasted, an epithet of the Ephesian Diana
Mulucha	Masc., a river in Africa, between Mauritania and Numidia
Mulvianus	of or belonging to a Mulvius, Mulvian
Mulvius	Mulvian
Mummius	Roman family name
Munatius	Roman family name
